"year","CO2_constrain"
1855,284.940999348958
1856,285.048993428548
1857,285.20399983724
1858,285.369000752767
1859,285.544995625814
1860,285.738993326823
1861,285.933001200358
1862,286.100001017253
1863,286.271001180013
1864,286.442001342773
1865,286.613995869954
1866,286.78099822998
1867,286.955001831055
1868,287.105000813802
1869,287.224998474121
1870,287.354998270671
1871,287.494000752767
1872,287.663996378581
1873,287.860000610352
1874,288.060999552409
1875,288.291002909342
1876,288.519996643066
1877,288.752001444499
1878,288.993001302083
1879,289.221000671387
1880,289.469998677572
1881,289.736996968587
1882,290.019002278646
1883,290.263000488281
1884,290.511998494466
1885,290.796997070312
1886,291.09999593099
1887,291.413998921712
1888,291.763000488281
1889,292.113001505534
1890,292.457997639974
1891,292.815999348958
1892,293.166999816895
1893,293.47699991862
1894,293.790997823079
1895,294.078997294108
1896,294.36499786377
1897,294.645998636882
1898,294.95399983724
1899,295.299997965495
1900,295.674995422363
1901,296.006998697917
1902,296.324999491374
1903,296.653996785482
1904,296.953994750977
1905,297.288996378581
1906,297.661997477214
1907,298.097994486491
1908,298.517990112305
1909,298.935991923014
1910,299.376996358236
1911,299.828992207845
1912,300.352991739909
1913,300.909993489583
1914,301.418991088867
1915,301.936988830566
1916,302.484987894694
1917,303.010988871257
1918,303.448987325033
1919,303.813987731934
1920,304.245986938477
1921,304.599988301595
1922,304.944981892904
1923,305.270983378092
1924,305.62998453776
1925,305.812980651855
1926,305.953984578451
1927,306.176986694336
1928,306.328979492188
1929,306.494987487793
1930,306.619977315267
1931,306.821983337402
1932,307.092979431152
1933,307.401980082194
1934,307.784983317057
1935,308.226979573568
1936,309.011973063151
1937,309.76397450765
1938,310.293975830078
1939,310.850975036621
1940,311.356976826986
1941,311.810974121094
1942,312.17197672526
1943,312.389979044596
1944,312.412971496582
1945,312.384976704915
1946,312.389971415202
1947,312.485972086589
1948,312.520968119303
1949,312.63197072347
1950,312.820976257324
1951,313.013971964518
1952,313.341977437337
1953,313.729967753092
1954,314.094968159993
1955,314.414970397949
1956,314.697967529297
1957,314.991961161296
1958,315.344965616862
1959,315.806966145833
1960,316.62496693929
1961,317.29896291097
1962,318.043963114421
1963,318.649963378906
1964,319.332962036133
1965,319.815961201986
1966,320.879956563314
1967,321.479957580566
1968,322.388956705729
1969,323.250956217448
1970,324.782956441243
1971,325.399955749512
1972,327.34895324707
1973,329.908950805664
1974,330.755953470866
1975,330.826955159505
1976,331.544949849447
1977,333.352945963542
1978,335.009948730469
1979,336.60494740804
1980,338.704945882161
1981,340.058949788411
1982,340.64394124349
1983,342.265947977702
1984,344.00794728597
1985,345.458953857422
1986,346.902946472168
1987,348.774945576986
1988,351.275932312012
1989,352.893923441569
1990,354.072931925456
1991,355.352938334147
1992,356.228947957357
1993,356.924959818522
1994,358.253959655762
1995,360.23895517985
1996,362.004961649577
1997,363.251955668132
1998,365.932955423991
1999,367.84497833252
2000,369.124974568685
2001,370.672988891602
2002,372.83499399821
2003,375.41099802653
2004,376.98700205485
2005,378.90700785319
2006,381.010007222493
2007,382.603019714355
2008,384.739018758138
2009,386.28002166748
2010,388.717030843099
2011,390.944020589193
2012,393.015991210938
2013,395.724978129069
2014,397.546979268392
2015,399.948438008626
2016,403.116966247559
2017,405.812962849935
2018,408.831957499186
2019,411.945960998535
2020,415.154955546061
2021,418.460960388184
2022,421.8429590861
2023,425.282956441243
2024,428.783953348796
